base_pid,QID183,QID184,QID192,QID193,QID165,QID166,QID163,QID164,QID169,QID170,QID167,QID168,QID154,QID156,QID157,QID158,QID287_1,QID287_10,QID287_11,QID287_12,QID287_2,QID287_3,QID287_4,QID287_5,QID287_6,QID287_7,QID171,QID172,QID173,QID159_1,QID159_2,QID159_3,QID160_1,QID160_2,QID160_3,QID194,QID195,QID196,QID288_1,QID288_2,QID288_3,QID288_4,QID289_1,QID289_2,QID289_3,QID289_4,QID290_1,QID290_10,QID290_11,QID290_12,QID290_2,QID290_3,QID290_4,QID290_5,QID290_6,QID290_7,QID291,QID162,QID161,QID198_1,QID198_10,QID198_2,QID198_3,QID198_4,QID198_5,QID198_6,QID198_7,QID198_8,QID198_9,QID203_1,QID203_2,QID203_3,QID203_4,QID203_5,QID203_6,QID9_1,QID9_10,QID9_11,QID9_12,QID9_13,QID9_14,QID9_15,QID9_16,QID9_17,QID9_18,QID9_19,QID9_2,QID9_20,QID9_21,QID9_22,QID9_23,QID9_24,QID9_25,QID9_26,QID9_27,QID9_28,QID9_29,QID9_3,QID9_30,QID9_31,QID9_32,QID9_33,QID9_34,QID9_35,QID9_36,QID9_37,QID9_38,QID9_39,QID9_4,QID9_40,QID9_5,QID9_6,QID9_7,QID9_8,QID9_9,QID174,QID175,QID176,QID177,QID178,QID179,QID181,QID182,QID191,QID190,QID189
pid_13,1.0,,,1.0,,,2.0,7.0,,,1.0,300.0,,70.0,1.0,,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,1.0,,1.0,3.0,2.0,,,,4.0,,1.0,7.0,1.0,5.0,5.0,1.0,7.0,6.0,6.0,30.0,50.0,80.0,40.0,25.0,40.0,30.0,20.0,60.0,85.0,3.0,,7.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,,,,,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,,5.0,,,6.0,,20.0,,,,5.0
pid_14,,1.0,1.0,,2.0,25.0,,,,,1.0,750.0,,70.0,,3.0,5.0,5.0,1.0,1.0,3.0,5.0,5.0,3.0,5.0,5.0,1.0,,,1.0,4.0,1.0,,,,,6.0,1.0,5.0,1.0,4.0,6.0,3.0,6.0,6.0,1.0,75.0,75.0,51.0,0.0,50.0,62.0,80.0,35.0,62.0,83.0,3.0,,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,,,6.0,,,20.0,,,,3.0
pid_15,,1.0,,2.0,2.0,34.0,,,2.0,356.0,,,,80.0,,4.0,5.0,5.0,5.0,4.0,2.0,5.0,4.0,4.0,3.0,5.0,,,4.0,,,,2.0,3.0,3.0,,3.0,2.0,7.0,1.0,2.0,2.0,3.0,7.0,7.0,7.0,25.0,90.0,70.0,60.0,10.0,15.0,40.0,45.0,15.0,95.0,1.0,3.0,,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,5.0,,,5.0,,10.0,,,3.0
pid_16,1.0,,2.0,,,,1.0,20.0,2.0,400.0,,,,81.0,,2.0,2.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,,,1.0,,,,2.0,3.0,5.0,,2.0,1.0,7.0,1.0,6.0,1.0,1.0,7.0,6.0,6.0,23.0,53.0,49.0,46.0,17.0,23.0,66.0,25.0,30.0,71.0,3.0,,3.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,,,5.0,,,6.0,7.0,,1.0,,
pid_17,2.0,,1.0,,,,1.0,80.0,,,1.0,450.0,84.0,,1.0,,2.0,5.0,4.0,1.0,5.0,5.0,5.0,1.0,2.0,1.0,1.0,,,6.0,6.0,2.0,,,,6.0,,1.0,7.0,1.0,1.0,1.0,2.0,7.0,7.0,7.0,13.0,70.0,55.0,21.0,58.0,50.0,62.0,27.0,33.0,48.0,1.0,,4.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,,3.0,,,20.0,,,,1.0
pid_18,,2.0,2.0,,1.0,67.0,,,2.0,625.0,,,69.0,,4.0,,5.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,,4.0,,,,,4.0,3.0,3.0,,6.0,1.0,6.0,1.0,3.0,2.0,2.0,7.0,7.0,7.0,64.0,90.0,54.0,53.0,57.0,54.0,60.0,74.0,54.0,59.0,3.0,6.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,,5.0,,,6.0,,,5.0,,,3.0
pid_19,1.0,,,1.0,1.0,70.0,,,1.0,1200.0,,,62.0,,5.0,,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,,4.0,,3.0,5.0,2.0,,,,,6.0,1.0,6.0,4.0,2.0,2.0,5.0,6.0,7.0,7.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,69.0,4.0,,6.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,,5.0,,,5.0,,20.0,,4.0,,
pid_20,1.0,,,2.0,2.0,6.0,,,1.0,2500.0,,,70.0,,,6.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,,,4.0,3.0,4.0,2.0,,,,,5.0,1.0,6.0,2.0,5.0,5.0,3.0,5.0,6.0,5.0,50.0,35.0,40.0,60.0,35.0,54.0,40.0,45.0,52.0,66.0,3.0,,6.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,,,4.0,,,5.0,15.0,,,,4.0
pid_21,1.0,,1.0,,,,1.0,30.0,,,1.0,150.0,,81.0,5.0,,4.0,5.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,,,5.0,,,,2.0,5.0,4.0,,4.0,2.0,5.0,3.0,5.0,5.0,2.0,5.0,5.0,5.0,17.0,100.0,78.0,48.0,26.0,22.0,69.0,70.0,31.0,40.0,4.0,7.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,,,5.0,,,1.0,,10.0,,3.0,
pid_22,,2.0,1.0,,,,1.0,16.0,,,1.0,100.0,30.0,,3.0,,4.0,5.0,1.0,3.0,4.0,4.0,5.0,2.0,5.0,5.0,,,2.0,,,,3.0,3.0,3.0,2.0,,1.0,5.0,1.0,4.0,2.0,3.0,5.0,5.0,5.0,40.0,70.0,50.0,40.0,30.0,30.0,45.0,55.0,40.0,50.0,1.0,6.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,,,5.0,,,6.0,10.0,,,,4.0
pid_23,1.0,,,1.0,,,1.0,30.0,1.0,1200.0,,,,70.0,,6.0,5.0,5.0,1.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,,1.0,,3.0,3.0,2.0,,,,1.0,,1.0,6.0,5.0,5.0,6.0,1.0,5.0,5.0,5.0,47.0,58.0,48.0,53.0,44.0,37.0,61.0,62.0,47.0,60.0,4.0,6.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,1.0,,,6.0,,20.0,,,,3.0
pid_24,1.0,,1.0,,1.0,75.0,,,2.0,60.0,,,,65.0,3.0,,2.0,2.0,5.0,4.0,2.0,2.0,3.0,2.0,1.0,2.0,,5.0,,,,,5.0,2.0,3.0,1.0,,1.0,3.0,4.0,4.0,1.0,4.0,5.0,5.0,7.0,0.0,9.0,100.0,63.0,39.0,0.0,31.0,14.0,0.0,25.0,1.0,5.0,,,,,,,,,,,,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,4.0,,,3.0,,20.0,,2.0,,
pid_25,,2.0,1.0,,,,2.0,7.0,1.0,1001.0,,,,20.0,,4.0,3.0,5.0,5.0,1.0,5.0,3.0,3.0,3.0,4.0,1.0,,3.0,,6.0,6.0,6.0,,,,3.0,,2.0,6.0,4.0,1.0,1.0,1.0,5.0,7.0,7.0,51.0,79.0,78.0,10.0,79.0,77.0,14.0,13.0,72.0,20.0,1.0,1.0,,,,,,,,,,,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,3.0,,,4.0,,5.0,,,,3.0
pid_26,,1.0,,1.0,,,1.0,35.0,1.0,1200.0,,,30.0,,1.0,,3.0,5.0,3.0,1.0,4.0,4.0,5.0,5.0,5.0,5.0,,,1.0,,,,5.0,5.0,5.0,5.0,,1.0,6.0,2.0,2.0,2.0,5.0,6.0,7.0,7.0,31.0,36.0,66.0,10.0,13.0,16.0,21.0,42.0,40.0,65.0,4.0,6.0,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,,3.0,,0.0,1.0,,
pid_27,,2.0,2.0,,,,2.0,10.0,1.0,1500.0,,,49.0,,,4.0,3.0,5.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,,1.0,,,,,4.0,4.0,4.0,,4.0,2.0,6.0,1.0,4.0,5.0,1.0,7.0,4.0,4.0,51.0,95.0,22.0,52.0,50.0,49.0,49.0,75.0,33.0,72.0,2.0,,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,,5.0,,,6.0,,15.0,,,10.0,
pid_28,2.0,,,1.0,2.0,5.0,,,,,1.0,120.0,75.0,,,5.0,3.0,4.0,2.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,,,5.0,5.0,4.0,,,,,5.0,1.0,6.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,50.0,75.0,49.0,50.0,30.0,30.0,30.0,52.0,20.0,51.0,4.0,4.0,,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,5.0,,,5.0,,,,0.0,,8.0,
pid_29,1.0,,,1.0,2.0,50.0,,,,,1.0,400.0,,40.0,2.0,,2.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,,,1.0,4.0,3.0,2.0,,,,6.0,,2.0,7.0,2.0,2.0,2.0,1.0,5.0,7.0,7.0,40.0,95.0,75.0,95.0,60.0,30.0,40.0,70.0,20.0,80.0,3.0,6.0,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,,,5.0,,,6.0,7.0,,,,10.0
pid_30,,1.0,,2.0,,,2.0,8.0,2.0,398.0,,,93.0,,6.0,,1.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,,4.0,2.0,3.0,3.0,,,,,3.0,2.0,7.0,2.0,6.0,6.0,5.0,7.0,2.0,2.0,10.0,100.0,85.0,100.0,93.0,54.0,97.0,97.0,97.0,95.0,1.0,6.0,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,,,4.0,,,4.0,18.0,,,,9.0
pid_31,2.0,,2.0,,2.0,50.0,,,,,1.0,400.0,,30.0,6.0,,5.0,4.0,1.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,,,2.0,5.0,6.0,4.0,,,,,6.0,2.0,6.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,62.0,64.0,58.0,66.0,60.0,63.0,70.0,77.0,72.0,68.0,4.0,6.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,,,5.0,,,6.0,,15.0,,,1.0
pid_32,1.0,,1.0,,2.0,15.0,,,,,1.0,90.0,50.0,,,3.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,,,,,,3.0,3.0,3.0,,6.0,1.0,7.0,1.0,1.0,3.0,5.0,7.0,7.0,6.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,,6.0,,,,0.0,,,1.0
