base_pid,gender,age_band,race,target_cell_proportion,clean_pool_cell_n,poststratification_weight
pid_33,Female,30-44,White / Caucasian,0.0690562071686215,129,1.0283486354335
pid_34,Female,18-29,Black / African American,0.0145000435001305,25,1.11418334255003
pid_35,Female,30-44,White / Caucasian,0.0690562071686215,129,1.0283486354335
pid_37,Male,45-59,Other,0.0028330084990255,4,1.36055233165699
pid_38,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_39,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_40,Male,30-44,White / Caucasian,0.071667215001645,157,0.876896305848153
pid_41,Female,18-29,White / Caucasian,0.0500561501684505,97,0.991318190449417
pid_42,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_43,Male,18-29,Black / African American,0.0138330414991245,27,0.984195285919191
pid_44,Male,30-44,Hispanic / Latino,0.029333087999264,40,1.40872155116465
pid_45,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_47,Male,45-59,White / Caucasian,0.0696112088336265,103,1.29828283659608
pid_48,Male,60+,Black / African American,0.0145000435001305,29,0.960502881508644
pid_49,Female,30-44,White / Caucasian,0.0690562071686215,129,1.0283486354335
pid_50,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_51,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_52,Female,30-44,White / Caucasian,0.0690562071686215,129,1.0283486354335
pid_53,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_54,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_55,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_56,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_57,Male,45-59,Black / African American,0.0132780398341195,15,1.7004743014229
pid_58,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_59,Male,45-59,White / Caucasian,0.0696112088336265,103,1.29828283659608
pid_60,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_61,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_62,Male,45-59,White / Caucasian,0.0696112088336265,103,1.29828283659608
pid_63,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_64,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_65,Female,45-59,Hispanic / Latino,0.0199440598321795,14,2.73660992411549
pid_67,Male,30-44,White / Caucasian,0.071667215001645,157,0.876896305848153
pid_68,Male,30-44,White / Caucasian,0.071667215001645,157,0.876896305848153
pid_69,Male,30-44,White / Caucasian,0.071667215001645,157,0.876896305848153
pid_70,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_71,Male,60+,Hispanic / Latino,0.0162780488341465,12,2.60584431753295
pid_72,Male,45-59,White / Caucasian,0.0696112088336265,103,1.29828283659608
pid_73,Male,30-44,White / Caucasian,0.071667215001645,157,0.876896305848153
pid_74,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_75,Female,45-59,White / Caucasian,0.0692782078346235,120,1.1090286437526
pid_76,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_77,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_78,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_80,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_81,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_82,Female,18-29,White / Caucasian,0.0500561501684505,97,0.991318190449417
pid_83,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_84,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_85,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_86,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_87,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_88,Male,18-29,White / Caucasian,0.0529441588324765,84,1.21078248949033
pid_89,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_90,Female,30-44,Asian / Asian American,0.0108330324990975,19,1.09527660161928
pid_91,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_92,Female,30-44,White / Caucasian,0.0690562071686215,129,1.0283486354335
pid_93,Male,45-59,Asian / Asian American,0.007667023001069,12,1.22736259875446
pid_94,Male,45-59,Asian / Asian American,0.007667023001069,12,1.22736259875446
pid_95,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_96,Female,18-29,Other,0.003889011667035,14,0.533627958026731
pid_97,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_98,Female,30-44,White / Caucasian,0.0690562071686215,129,1.0283486354335
pid_99,Male,30-44,Other,0.003889011667035,19,0.393199548019697
pid_100,Male,45-59,White / Caucasian,0.0696112088336265,103,1.29828283659608
pid_101,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_102,Male,45-59,Black / African American,0.0132780398341195,15,1.7004743014229
pid_103,Female,18-29,White / Caucasian,0.0500561501684505,97,0.991318190449417
pid_104,Male,30-44,White / Caucasian,0.071667215001645,157,0.876896305848153
pid_105,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_106,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_107,Male,45-59,White / Caucasian,0.0696112088336265,103,1.29828283659608
pid_109,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_110,Female,45-59,White / Caucasian,0.0692782078346235,120,1.1090286437526
pid_112,Female,60+,Asian / Asian American,0.00905602716808151,15,1.15977521265897
pid_114,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_115,Female,60+,Asian / Asian American,0.00905602716808151,15,1.15977521265897
pid_116,Female,60+,Black / African American,0.018444055332166,57,0.621597022685805
pid_117,Male,30-44,White / Caucasian,0.071667215001645,157,0.876896305848153
pid_118,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_119,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_120,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_121,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_122,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_123,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_124,Male,30-44,Black / African American,0.0162780488341465,37,0.845138697578255
pid_125,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_126,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_127,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_128,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_129,Female,30-44,Asian / Asian American,0.0108330324990975,19,1.09527660161928
pid_130,Male,60+,Other,0.0027220081660245,12,0.435748140577755
pid_132,Male,30-44,White / Caucasian,0.071667215001645,157,0.876896305848153
pid_133,Female,60+,Hispanic / Latino,0.018444055332166,13,2.7254638686993
pid_134,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_135,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_136,Male,30-44,White / Caucasian,0.071667215001645,157,0.876896305848153
pid_137,Male,45-59,White / Caucasian,0.0696112088336265,103,1.29828283659608
pid_138,Female,30-44,White / Caucasian,0.0690562071686215,129,1.0283486354335
pid_139,Male,45-59,White / Caucasian,0.0696112088336265,103,1.29828283659608
pid_140,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_141,Male,30-44,White / Caucasian,0.071667215001645,157,0.876896305848153
pid_142,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_143,Male,60+,Black / African American,0.0145000435001305,29,0.960502881508644
pid_144,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_145,Female,18-29,Hispanic / Latino,0.023667071001213,20,2.27322216966651
pid_146,Female,18-29,White / Caucasian,0.0500561501684505,97,0.991318190449417
pid_147,Male,18-29,Hispanic / Latino,0.025444076332229,54,0.905149456189109
pid_148,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_149,Male,30-44,White / Caucasian,0.071667215001645,157,0.876896305848153
pid_150,Female,30-44,White / Caucasian,0.0690562071686215,129,1.0283486354335
pid_151,Male,18-29,Hispanic / Latino,0.025444076332229,54,0.905149456189109
pid_152,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_153,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_154,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_155,Female,18-29,Black / African American,0.0145000435001305,25,1.11418334255003
pid_156,Male,18-29,White / Caucasian,0.0529441588324765,84,1.21078248949033
pid_157,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_158,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_159,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_160,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_161,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_162,Female,18-29,White / Caucasian,0.0500561501684505,97,0.991318190449417
pid_163,Male,45-59,White / Caucasian,0.0696112088336265,103,1.29828283659608
pid_164,Female,45-59,White / Caucasian,0.0692782078346235,120,1.1090286437526
pid_165,Male,45-59,Hispanic / Latino,0.0203890611671835,4,9.79184662553988
pid_166,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_167,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_169,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_170,Female,45-59,White / Caucasian,0.0692782078346235,120,1.1090286437526
pid_171,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_172,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_173,Female,30-44,White / Caucasian,0.0690562071686215,129,1.0283486354335
pid_174,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_175,Male,45-59,White / Caucasian,0.0696112088336265,103,1.29828283659608
pid_176,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_177,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_178,Male,30-44,Other,0.003889011667035,19,0.393199548019697
pid_179,Female,45-59,White / Caucasian,0.0692782078346235,120,1.1090286437526
pid_180,Female,60+,Black / African American,0.018444055332166,57,0.621597022685805
pid_181,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_182,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_183,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_184,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_185,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_186,Female,18-29,Black / African American,0.0145000435001305,25,1.11418334255003
pid_187,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_188,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_189,Female,45-59,White / Caucasian,0.0692782078346235,120,1.1090286437526
pid_190,Male,45-59,White / Caucasian,0.0696112088336265,103,1.29828283659608
pid_191,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_192,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_193,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_194,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_195,Male,45-59,White / Caucasian,0.0696112088336265,103,1.29828283659608
pid_196,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_197,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_198,Female,30-44,White / Caucasian,0.0690562071686215,129,1.0283486354335
pid_199,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_200,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_201,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_202,Male,18-29,Black / African American,0.0138330414991245,27,0.984195285919191
pid_203,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_204,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_205,Female,30-44,Hispanic / Latino,0.02777808333425,24,2.22340408687893
pid_206,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_207,Female,45-59,Black / African American,0.0146110438331315,16,1.75423845021535
pid_208,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_209,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_210,Male,60+,Black / African American,0.0145000435001305,29,0.960502881508644
pid_211,Female,45-59,White / Caucasian,0.0692782078346235,120,1.1090286437526
pid_212,Male,60+,Other,0.0027220081660245,12,0.435748140577755
pid_213,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_214,Male,30-44,Black / African American,0.0162780488341465,37,0.845138697578255
pid_215,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_216,Male,18-29,Black / African American,0.0138330414991245,27,0.984195285919191
pid_217,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_218,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_219,Female,45-59,White / Caucasian,0.0692782078346235,120,1.1090286437526
pid_220,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_221,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_222,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_223,Male,60+,Black / African American,0.0145000435001305,29,0.960502881508644
pid_224,Male,45-59,Black / African American,0.0132780398341195,15,1.7004743014229
pid_225,Male,30-44,Black / African American,0.0162780488341465,37,0.845138697578255
pid_226,Female,45-59,Black / African American,0.0146110438331315,16,1.75423845021535
pid_227,Female,30-44,Black / African American,0.017444052332157,26,1.28884709731052
pid_228,Female,60+,Other,0.003222009666029,20,0.309474028422085
pid_229,Male,30-44,White / Caucasian,0.071667215001645,157,0.876896305848153
pid_230,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_231,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_233,Male,30-44,Hispanic / Latino,0.029333087999264,40,1.40872155116465
pid_234,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_235,Male,18-29,White / Caucasian,0.0529441588324765,84,1.21078248949033
pid_236,Female,30-44,Hispanic / Latino,0.02777808333425,24,2.22340408687893
pid_237,Male,30-44,White / Caucasian,0.071667215001645,157,0.876896305848153
pid_238,Female,45-59,White / Caucasian,0.0692782078346235,120,1.1090286437526
pid_239,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_240,Male,30-44,Other,0.003889011667035,19,0.393199548019697
pid_241,Male,30-44,Asian / Asian American,0.010222030666092,20,0.981826045478136
pid_242,Female,18-29,White / Caucasian,0.0500561501684505,97,0.991318190449417
pid_243,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_244,Female,45-59,White / Caucasian,0.0692782078346235,120,1.1090286437526
pid_245,Female,30-44,White / Caucasian,0.0690562071686215,129,1.0283486354335
pid_246,Male,45-59,White / Caucasian,0.0696112088336265,103,1.29828283659608
pid_247,Male,45-59,Black / African American,0.0132780398341195,15,1.7004743014229
pid_248,Male,45-59,White / Caucasian,0.0696112088336265,103,1.29828283659608
pid_249,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_251,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_252,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_253,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_254,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_255,Male,30-44,White / Caucasian,0.071667215001645,157,0.876896305848153
pid_256,Female,30-44,Black / African American,0.017444052332157,26,1.28884709731052
pid_257,Male,45-59,Asian / Asian American,0.007667023001069,12,1.22736259875446
pid_258,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_259,Female,45-59,White / Caucasian,0.0692782078346235,120,1.1090286437526
pid_260,Male,60+,Black / African American,0.0145000435001305,29,0.960502881508644
pid_261,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_262,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_263,Female,45-59,White / Caucasian,0.0692782078346235,120,1.1090286437526
pid_264,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_265,Female,60+,Black / African American,0.018444055332166,57,0.621597022685805
pid_266,Male,30-44,White / Caucasian,0.071667215001645,157,0.876896305848153
pid_267,Male,30-44,Hispanic / Latino,0.029333087999264,40,1.40872155116465
pid_268,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_269,Male,18-29,Asian / Asian American,0.00655601966805901,15,0.839607585489423
pid_270,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_271,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_272,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_273,Male,60+,Hispanic / Latino,0.0162780488341465,12,2.60584431753295
pid_274,Female,18-29,White / Caucasian,0.0500561501684505,97,0.991318190449417
pid_275,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_276,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_277,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_278,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_279,Male,30-44,Black / African American,0.0162780488341465,37,0.845138697578255
pid_280,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_281,Female,45-59,Black / African American,0.0146110438331315,16,1.75423845021535
pid_282,Male,18-29,White / Caucasian,0.0529441588324765,84,1.21078248949033
pid_283,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_284,Male,18-29,Black / African American,0.0138330414991245,27,0.984195285919191
pid_285,Male,45-59,White / Caucasian,0.0696112088336265,103,1.29828283659608
pid_286,Male,60+,Black / African American,0.0145000435001305,29,0.960502881508644
pid_287,Male,45-59,White / Caucasian,0.0696112088336265,103,1.29828283659608
pid_288,Female,18-29,Black / African American,0.0145000435001305,25,1.11418334255003
pid_289,Male,30-44,White / Caucasian,0.071667215001645,157,0.876896305848153
pid_290,Male,30-44,Hispanic / Latino,0.029333087999264,40,1.40872155116465
pid_291,Male,45-59,White / Caucasian,0.0696112088336265,103,1.29828283659608
pid_292,Male,30-44,White / Caucasian,0.071667215001645,157,0.876896305848153
pid_293,Male,30-44,White / Caucasian,0.071667215001645,157,0.876896305848153
pid_294,Male,60+,Black / African American,0.0145000435001305,29,0.960502881508644
pid_295,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_296,Female,30-44,Hispanic / Latino,0.02777808333425,24,2.22340408687893
pid_297,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_298,Female,30-44,White / Caucasian,0.0690562071686215,129,1.0283486354335
pid_299,Female,60+,Black / African American,0.018444055332166,57,0.621597022685805
pid_301,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_302,Female,45-59,Other,0.0029440088320265,10,0.56554409663229
pid_303,Female,60+,Black / African American,0.018444055332166,57,0.621597022685805
pid_304,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_305,Male,18-29,Hispanic / Latino,0.025444076332229,54,0.905149456189109
pid_307,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_308,Male,30-44,Asian / Asian American,0.010222030666092,20,0.981826045478136
pid_310,Female,30-44,White / Caucasian,0.0690562071686215,129,1.0283486354335
pid_311,Female,45-59,White / Caucasian,0.0692782078346235,120,1.1090286437526
pid_312,Female,60+,Hispanic / Latino,0.018444055332166,13,2.7254638686993
pid_313,Male,30-44,White / Caucasian,0.071667215001645,157,0.876896305848153
pid_314,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_315,Male,18-29,White / Caucasian,0.0529441588324765,84,1.21078248949033
pid_316,Female,45-59,White / Caucasian,0.0692782078346235,120,1.1090286437526
pid_317,Female,45-59,Other,0.0029440088320265,10,0.56554409663229
pid_318,Female,45-59,White / Caucasian,0.0692782078346235,120,1.1090286437526
pid_319,Male,18-29,Black / African American,0.0138330414991245,27,0.984195285919191
pid_320,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_321,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_323,Female,60+,Black / African American,0.018444055332166,57,0.621597022685805
pid_324,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_325,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_326,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_327,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_328,Female,60+,Asian / Asian American,0.00905602716808151,15,1.15977521265897
pid_329,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_330,Female,60+,Other,0.003222009666029,20,0.309474028422085
pid_331,Male,45-59,White / Caucasian,0.0696112088336265,103,1.29828283659608
pid_332,Male,60+,Hispanic / Latino,0.0162780488341465,12,2.60584431753295
pid_333,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_335,Male,60+,Asian / Asian American,0.007111021333064,17,0.803545410636232
pid_336,Female,30-44,Hispanic / Latino,0.02777808333425,24,2.22340408687893
pid_337,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_338,Female,60+,Black / African American,0.018444055332166,57,0.621597022685805
pid_339,Male,45-59,Black / African American,0.0132780398341195,15,1.7004743014229
pid_340,Male,18-29,White / Caucasian,0.0529441588324765,84,1.21078248949033
pid_341,Male,45-59,White / Caucasian,0.0696112088336265,103,1.29828283659608
pid_344,Male,18-29,Hispanic / Latino,0.025444076332229,54,0.905149456189109
pid_345,Male,45-59,White / Caucasian,0.0696112088336265,103,1.29828283659608
pid_346,Male,30-44,Black / African American,0.0162780488341465,37,0.845138697578255
pid_347,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_348,Female,45-59,Black / African American,0.0146110438331315,16,1.75423845021535
pid_350,Male,45-59,Hispanic / Latino,0.0203890611671835,4,9.79184662553988
pid_351,Male,18-29,Asian / Asian American,0.00655601966805901,15,0.839607585489423
pid_352,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_353,Male,45-59,Hispanic / Latino,0.0203890611671835,4,9.79184662553988
pid_354,Female,45-59,White / Caucasian,0.0692782078346235,120,1.1090286437526
pid_355,Male,18-29,Hispanic / Latino,0.025444076332229,54,0.905149456189109
pid_356,Female,30-44,Other,0.0039440118320355,17,0.445673337020011
pid_357,Male,30-44,White / Caucasian,0.071667215001645,157,0.876896305848153
pid_358,Male,30-44,White / Caucasian,0.071667215001645,157,0.876896305848153
pid_359,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_360,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_361,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_362,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_363,Male,30-44,White / Caucasian,0.071667215001645,157,0.876896305848153
pid_364,Female,60+,Black / African American,0.018444055332166,57,0.621597022685805
pid_365,Female,18-29,Black / African American,0.0145000435001305,25,1.11418334255003
pid_366,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_367,Male,30-44,White / Caucasian,0.071667215001645,157,0.876896305848153
pid_368,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_369,Female,45-59,White / Caucasian,0.0692782078346235,120,1.1090286437526
pid_370,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_371,Female,45-59,White / Caucasian,0.0692782078346235,120,1.1090286437526
pid_372,Male,30-44,White / Caucasian,0.071667215001645,157,0.876896305848153
pid_373,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_374,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_375,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_376,Male,60+,Black / African American,0.0145000435001305,29,0.960502881508644
pid_377,Male,18-29,Black / African American,0.0138330414991245,27,0.984195285919191
pid_378,Female,30-44,Asian / Asian American,0.0108330324990975,19,1.09527660161928
pid_379,Male,60+,Other,0.0027220081660245,12,0.435748140577755
pid_380,Female,18-29,White / Caucasian,0.0500561501684505,97,0.991318190449417
pid_381,Male,45-59,White / Caucasian,0.0696112088336265,103,1.29828283659608
pid_382,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_383,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_384,Female,60+,Black / African American,0.018444055332166,57,0.621597022685805
pid_385,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_386,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_387,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_388,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_389,Female,60+,White / Caucasian,0.117222351667055,313,0.719438139145088
pid_390,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_391,Male,60+,White / Caucasian,0.101944305832918,277,0.706985601101208
pid_392,Female,18-29,Black / African American,0.0145000435001305,25,1.11418334255003
