condition,base_pid,gender,age_band,race,selected_n,in_panel500
apple aardvark,pid_402,Female,60+,Asian / Asian-American,500,yes
apple aardvark,pid_403,Male,30-44,Black / African-American,500,yes
apple aardvark,pid_406,Male,18-29,White / Caucasian,500,yes
apple aardvark,pid_407,Male,60+,Latino / Hispanic,500,yes
apple aardvark,pid_411,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_412,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_425,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_443,Male,30-44,Black / African-American,500,yes
apple aardvark,pid_445,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_447,Male,60+,Asian / Asian-American,500,yes
apple aardvark,pid_450,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_451,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_453,Male,18-29,Black / African-American,500,yes
apple aardvark,pid_455,Female,45-59,Asian / Asian-American,500,yes
apple aardvark,pid_456,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_459,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_460,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_461,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_462,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_463,Female,18-29,White / Caucasian,500,yes
apple aardvark,pid_464,Female,18-29,Latino / Hispanic,500,yes
apple aardvark,pid_467,Female,18-29,White / Caucasian,500,yes
apple aardvark,pid_469,Female,45-59,Black / African-American,500,yes
apple aardvark,pid_470,Male,18-29,Latino / Hispanic,500,yes
apple aardvark,pid_474,Female,45-59,Black / African-American,500,yes
apple aardvark,pid_475,Male,18-29,White / Caucasian,500,yes
apple aardvark,pid_478,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_487,Female,18-29,Black / African-American,500,yes
apple aardvark,pid_491,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_492,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_502,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_507,Male,60+,Black / African-American,500,yes
apple aardvark,pid_509,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_511,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_512,Female,18-29,White / Caucasian,500,yes
apple aardvark,pid_513,Male,60+,Asian / Asian-American,500,yes
apple aardvark,pid_517,Female,18-29,Latino / Hispanic,500,yes
apple aardvark,pid_520,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_521,Female,60+,Black / African-American,500,yes
apple aardvark,pid_525,Male,30-44,Asian / Asian-American,500,yes
apple aardvark,pid_528,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_541,Male,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_542,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_559,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_563,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_566,Female,18-29,Black / African-American,500,yes
apple aardvark,pid_569,Male,60+,Latino / Hispanic,500,yes
apple aardvark,pid_577,Female,18-29,Black / African-American,500,yes
apple aardvark,pid_578,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_582,Male,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_585,Male,60+,Asian / Asian-American,500,yes
apple aardvark,pid_586,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_607,Male,30-44,Black / African-American,500,yes
apple aardvark,pid_609,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_610,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_628,Male,18-29,Black / African-American,500,yes
apple aardvark,pid_629,Male,18-29,White / Caucasian,500,yes
apple aardvark,pid_636,Female,18-29,White / Caucasian,500,yes
apple aardvark,pid_653,Male,18-29,Latino / Hispanic,500,yes
apple aardvark,pid_654,Male,45-59,Black / African-American,500,yes
apple aardvark,pid_667,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_676,Female,45-59,Latino / Hispanic,500,yes
apple aardvark,pid_679,Male,18-29,White / Caucasian,500,yes
apple aardvark,pid_684,Female,18-29,White / Caucasian,500,yes
apple aardvark,pid_687,Female,18-29,White / Caucasian,500,yes
apple aardvark,pid_691,Female,60+,Black / African-American,500,yes
apple aardvark,pid_695,Female,18-29,White / Caucasian,500,yes
apple aardvark,pid_708,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_714,Female,45-59,Asian / Asian-American,500,yes
apple aardvark,pid_715,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_716,Male,18-29,Black / African-American,500,yes
apple aardvark,pid_717,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_718,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_721,Male,45-59,Asian / Asian-American,500,yes
apple aardvark,pid_732,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_736,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_738,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_744,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_753,Male,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_757,Female,18-29,White / Caucasian,500,yes
apple aardvark,pid_758,Female,60+,Black / African-American,500,yes
apple aardvark,pid_761,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_764,Male,18-29,White / Caucasian,500,yes
apple aardvark,pid_767,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_773,Female,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_774,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_788,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_792,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_797,Female,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_800,Female,60+,Latino / Hispanic,500,yes
apple aardvark,pid_804,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_805,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_808,Male,30-44,Asian / Asian-American,500,yes
apple aardvark,pid_814,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_822,Male,45-59,Latino / Hispanic,500,yes
apple aardvark,pid_824,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_839,Male,45-59,Black / African-American,500,yes
apple aardvark,pid_845,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_846,Female,18-29,White / Caucasian,500,yes
apple aardvark,pid_847,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_857,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_860,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_861,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_863,Male,60+,Latino / Hispanic,500,yes
apple aardvark,pid_869,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_871,Female,60+,Latino / Hispanic,500,yes
apple aardvark,pid_872,Male,45-59,Black / African-American,500,yes
apple aardvark,pid_881,Male,18-29,White / Caucasian,500,yes
apple aardvark,pid_882,Male,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_883,Male,18-29,White / Caucasian,500,yes
apple aardvark,pid_895,Female,30-44,Asian / Asian-American,500,yes
apple aardvark,pid_897,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_900,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_903,Female,18-29,Latino / Hispanic,500,yes
apple aardvark,pid_904,Male,18-29,White / Caucasian,500,yes
apple aardvark,pid_910,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_913,Female,18-29,White / Caucasian,500,yes
apple aardvark,pid_914,Male,60+,Latino / Hispanic,500,yes
apple aardvark,pid_916,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_917,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_920,Male,60+,Black / African-American,500,yes
apple aardvark,pid_921,Female,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_924,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_926,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_933,Female,60+,Other,500,yes
apple aardvark,pid_935,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_939,Female,60+,Latino / Hispanic,500,yes
apple aardvark,pid_940,Male,18-29,White / Caucasian,500,yes
apple aardvark,pid_945,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_946,Female,45-59,Asian / Asian-American,500,yes
apple aardvark,pid_949,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_950,Male,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_951,Female,45-59,Latino / Hispanic,500,yes
apple aardvark,pid_954,Female,18-29,Latino / Hispanic,500,yes
apple aardvark,pid_955,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_957,Female,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_958,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_961,Female,30-44,Black / African-American,500,yes
apple aardvark,pid_969,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_970,Male,60+,Latino / Hispanic,500,yes
apple aardvark,pid_976,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_983,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_1001,Male,18-29,Latino / Hispanic,500,yes
apple aardvark,pid_1003,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_1007,Male,30-44,Black / African-American,500,yes
apple aardvark,pid_1010,Female,60+,Latino / Hispanic,500,yes
apple aardvark,pid_1011,Female,30-44,Other,500,yes
apple aardvark,pid_1016,Female,18-29,White / Caucasian,500,yes
apple aardvark,pid_1018,Female,18-29,Other,500,yes
apple aardvark,pid_1019,Female,45-59,Latino / Hispanic,500,yes
apple aardvark,pid_1030,Female,45-59,Other,500,yes
apple aardvark,pid_1037,Female,18-29,White / Caucasian,500,yes
apple aardvark,pid_1041,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_1043,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_1044,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_1047,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_1048,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_1051,Male,18-29,Latino / Hispanic,500,yes
apple aardvark,pid_1054,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_1060,Male,30-44,Black / African-American,500,yes
apple aardvark,pid_1063,Female,18-29,Asian / Asian-American,500,yes
apple aardvark,pid_1064,Male,18-29,White / Caucasian,500,yes
apple aardvark,pid_1072,Male,18-29,Latino / Hispanic,500,yes
apple aardvark,pid_1082,Female,45-59,Black / African-American,500,yes
apple aardvark,pid_1089,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_1094,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_1097,Female,60+,Latino / Hispanic,500,yes
apple aardvark,pid_1100,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_1109,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_1114,Male,45-59,Other,500,yes
apple aardvark,pid_1115,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_1116,Male,18-29,White / Caucasian,500,yes
apple aardvark,pid_1124,Female,30-44,Black / African-American,500,yes
apple aardvark,pid_1125,Male,30-44,Asian / Asian-American,500,yes
apple aardvark,pid_1131,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_1132,Female,45-59,Latino / Hispanic,500,yes
apple aardvark,pid_1135,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_1137,Male,60+,Asian / Asian-American,500,yes
apple aardvark,pid_1138,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_1144,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_1145,Female,30-44,Asian / Asian-American,500,yes
apple aardvark,pid_1147,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_1148,Female,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_1153,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_1157,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_1159,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_1168,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_1174,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_1176,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_1178,Female,18-29,Latino / Hispanic,500,yes
apple aardvark,pid_1182,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_1183,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_1187,Male,18-29,White / Caucasian,500,yes
apple aardvark,pid_1188,Male,18-29,Asian / Asian-American,500,yes
apple aardvark,pid_1189,Female,30-44,Asian / Asian-American,500,yes
apple aardvark,pid_1193,Male,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_1194,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_1197,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_1199,Male,60+,Black / African-American,500,yes
apple aardvark,pid_1202,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_1203,Male,18-29,Asian / Asian-American,500,yes
apple aardvark,pid_1212,Male,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_1217,Female,45-59,Latino / Hispanic,500,yes
apple aardvark,pid_1219,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_1221,Male,18-29,Latino / Hispanic,500,yes
apple aardvark,pid_1225,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_1227,Female,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_1238,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_1240,Male,18-29,White / Caucasian,500,yes
apple aardvark,pid_1248,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_1249,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_1253,Female,45-59,Black / African-American,500,yes
apple aardvark,pid_1256,Female,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_1262,Male,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_1273,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_1278,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_1286,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_1289,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_1290,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_1299,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_1301,Female,45-59,Black / African-American,500,yes
apple aardvark,pid_1302,Male,30-44,Black / African-American,500,yes
apple aardvark,pid_1311,Female,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_1316,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_1317,Female,30-44,Black / African-American,500,yes
apple aardvark,pid_1323,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_1339,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_1343,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_1345,Male,18-29,Asian / Asian-American,500,yes
apple aardvark,pid_1350,Male,30-44,Asian / Asian-American,500,yes
apple aardvark,pid_1353,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_1362,Male,18-29,White / Caucasian,500,yes
apple aardvark,pid_1367,Female,18-29,White / Caucasian,500,yes
apple aardvark,pid_1368,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_1369,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_1379,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_1380,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_1382,Female,18-29,White / Caucasian,500,yes
apple aardvark,pid_1386,Male,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_1387,Female,18-29,White / Caucasian,500,yes
apple aardvark,pid_1400,Female,18-29,White / Caucasian,500,yes
apple aardvark,pid_1403,Female,30-44,Black / African-American,500,yes
apple aardvark,pid_1411,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_1412,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_1413,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_1416,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_1418,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_1420,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_1423,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_1427,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_1435,Female,30-44,Black / African-American,500,yes
apple aardvark,pid_1439,Male,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_1445,Female,18-29,White / Caucasian,500,yes
apple aardvark,pid_1446,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_1448,Male,18-29,White / Caucasian,500,yes
apple aardvark,pid_1449,Female,18-29,Latino / Hispanic,500,yes
apple aardvark,pid_1451,Male,60+,Latino / Hispanic,500,yes
apple aardvark,pid_1452,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_1455,Female,18-29,Black / African-American,500,yes
apple aardvark,pid_1457,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_1458,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_1460,Male,18-29,White / Caucasian,500,yes
apple aardvark,pid_1463,Male,30-44,Black / African-American,500,yes
apple aardvark,pid_1465,Male,18-29,White / Caucasian,500,yes
apple aardvark,pid_1471,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_1473,Female,30-44,Black / African-American,500,yes
apple aardvark,pid_1474,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_1477,Male,18-29,Latino / Hispanic,500,yes
apple aardvark,pid_1487,Female,18-29,White / Caucasian,500,yes
apple aardvark,pid_1499,Male,60+,Black / African-American,500,yes
apple aardvark,pid_1502,Male,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_1503,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_1512,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_1516,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_1522,Male,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_1526,Male,18-29,Latino / Hispanic,500,yes
apple aardvark,pid_1531,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_1534,Male,45-59,Black / African-American,500,yes
apple aardvark,pid_1539,Female,18-29,White / Caucasian,500,yes
apple aardvark,pid_1544,Female,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_1546,Female,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_1548,Female,18-29,Black / African-American,500,yes
apple aardvark,pid_1554,Male,60+,Latino / Hispanic,500,yes
apple aardvark,pid_1563,Female,45-59,Latino / Hispanic,500,yes
apple aardvark,pid_1566,Male,18-29,Latino / Hispanic,500,yes
apple aardvark,pid_1571,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_1581,Female,30-44,Black / African-American,500,yes
apple aardvark,pid_1583,Male,18-29,Other,500,yes
apple aardvark,pid_1584,Female,30-44,Asian / Asian-American,500,yes
apple aardvark,pid_1586,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_1588,Male,45-59,Asian / Asian-American,500,yes
apple aardvark,pid_1590,Male,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_1596,Female,18-29,Latino / Hispanic,500,yes
apple aardvark,pid_1598,Male,18-29,White / Caucasian,500,yes
apple aardvark,pid_1604,Female,60+,Latino / Hispanic,500,yes
apple aardvark,pid_1605,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_1625,Male,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_1643,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_1645,Male,45-59,Asian / Asian-American,500,yes
apple aardvark,pid_1649,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_1653,Male,18-29,White / Caucasian,500,yes
apple aardvark,pid_1656,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_1657,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_1660,Female,18-29,Asian / Asian-American,500,yes
apple aardvark,pid_1663,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_1667,Female,18-29,White / Caucasian,500,yes
apple aardvark,pid_1670,Female,18-29,Latino / Hispanic,500,yes
apple aardvark,pid_1676,Female,18-29,Asian / Asian-American,500,yes
apple aardvark,pid_1680,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_1681,Female,45-59,Latino / Hispanic,500,yes
apple aardvark,pid_1684,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_1687,Female,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_1689,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_1697,Male,45-59,Black / African-American,500,yes
apple aardvark,pid_1704,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_1712,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_1717,Male,60+,White / Caucasian,500,yes
apple aardvark,pid_1721,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_1726,Female,45-59,Latino / Hispanic,500,yes
apple aardvark,pid_1728,Female,30-44,White / Caucasian,500,yes
apple aardvark,pid_1740,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_1741,Male,18-29,Other,500,yes
apple aardvark,pid_1743,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_1751,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_1757,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_1763,Female,45-59,Latino / Hispanic,500,yes
apple aardvark,pid_1772,Female,60+,Asian / Asian-American,500,yes
apple aardvark,pid_1773,Male,18-29,Latino / Hispanic,500,yes
apple aardvark,pid_1775,Male,45-59,White / Caucasian,500,yes
apple aardvark,pid_1779,Male,30-44,Other,500,yes
apple aardvark,pid_1780,Male,30-44,Latino / Hispanic,500,yes
apple aardvark,pid_1782,Male,30-44,White / Caucasian,500,yes
apple aardvark,pid_1790,Female,30-44,Black / African-American,500,yes
apple aardvark,pid_1791,Female,60+,Asian / Asian-American,500,yes
apple aardvark,pid_1793,Female,60+,Asian / Asian-American,500,yes
apple aardvark,pid_1803,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_1805,Male,30-44,Black / African-American,500,yes
apple aardvark,pid_1806,Female,60+,White / Caucasian,500,yes
apple aardvark,pid_1809,Male,18-29,White / Caucasian,500,yes
apple aardvark,pid_1811,Female,45-59,White / Caucasian,500,yes
apple aardvark,pid_1814,Female,18-29,White / Caucasian,500,yes
