persona_id,age_band,gender,QID1721185783_3_TEXT,year_birth,race,QID1721185785_5_TEXT,education,QID1721185787_1,QID1721185787_2,QID1721185787_3,income,household,social_class,rural,zip_code,attention1,party,QID1721185795_4_TEXT,religion,QID1721185824_22_TEXT,epist_auton_1,epist_auton_2,epist_auton_3,epist_auton_4,epist_auton_5,epist_auton_6,attention2,partisan_importance,religion_bornagain,religiosity
pid_13,60+,Male,,1965,White / Caucasian,,Some college or Associate's degree,No,Yes,Yes,"$56,000 to $99,999",3,Middle class,A small city or town,99999,Somewhat disagree,Independent,,Protestant,,6,6,3,6,6,2,attention,,Yes,75
pid_14,45-59,Female,,1980,White / Caucasian,,Bachelor's degree,No,Yes,Yes,"$100,000 to $167,999",3,Middle class,A small city or town,99999,Somewhat disagree,Democrat,,I am not religious,,6,6,3,6,6,1 Strongly disagree,attention,75,,
pid_15,60+,Male,,1965,White / Caucasian,,Some college or Associate's degree,No,Yes,Yes,"$100,000 to $167,999",2,Middle class,A small city or town,99999,Somewhat disagree,Independent,,I am not religious,,6,6,4,6,6,2,attention,,,
pid_16,60+,Male,,1965,White / Caucasian,,Some college or Associate's degree,Yes,Yes,Yes,"$56,000 to $99,999",2,Working class,A small city or town,99999,Somewhat disagree,Independent,,Protestant,,6,6,3,6,6,2,attention,,No,40
pid_17,60+,Female,,1965,White / Caucasian,,Bachelor's degree,No,Yes,Yes,"Less than $30,000",1,Working class,A small city or town,99999,Somewhat disagree,Democrat,,I am not religious,,6,6,3,6,7 Strongly agree,1 Strongly disagree,attention,70,,
pid_18,60+,Male,,1945,White / Caucasian,,Bachelor's degree,No,Yes,Yes,"$30,000 to $55,999",2,Middle class,A small city or town,99999,Somewhat disagree,Democrat,,I am not religious,,6,6,2,6,6,1 Strongly disagree,attention,70,,
pid_19,30-44,Female,,1985,White / Caucasian,,Doctorate degree / Ph.D.,Yes,Yes,Yes,"$100,000 to $167,999",2,Middle class,A suburb near a large city,99999,Somewhat disagree,Democrat,,I am not religious,,6,6,3,6,6,2,attention,75,,
pid_20,45-59,Male,,1979,White / Caucasian,,Doctorate degree / Ph.D.,Yes,Yes,Yes,"$100,000 to $167,999",6 or more,Middle class,A small city or town,99999,Somewhat disagree,Republican,,Catholic,,6,6,3,6,6,2,attention,70,No,40
pid_21,60+,Female,,1965,White / Caucasian,,Master's degree / Professional degree,Yes,Yes,Yes,"$168,000 or more",2,Middle class,A suburb near a large city,99999,Somewhat disagree,Republican,,Catholic,,6,6,3,6,6,2,attention,40,No,20
pid_22,30-44,Female,,1985,Other,Other,Bachelor's degree,Yes,Yes,Yes,"$100,000 to $167,999",3,Middle class,A suburb near a large city,99999,Somewhat disagree,Democrat,,I am not religious,,6,6,3,6,7 Strongly agree,1 Strongly disagree,attention,70,,
pid_23,45-59,Male,,1980,White / Caucasian,,Bachelor's degree,No,Yes,Yes,"$100,000 to $167,999",4,Middle class,A suburb near a large city,99999,Somewhat disagree,Democrat,,I am not religious,,6,6,3,6,6,2,attention,70,,
pid_24,18-29,Male,,2000,White / Caucasian,,High school diploma / GED,Yes,Yes,Not applicable,"Less than $30,000",2,Working class,A small city or town,99999,Somewhat disagree,Republican,,Protestant,,5,5,6,5,6,6,attention,90,Yes,85
pid_25,60+,Female,,1965,White / Caucasian,,High school diploma / GED,Yes,Yes,Not applicable,"Less than $30,000",3,Working class,A small city or town,99999,Somewhat disagree,Republican,,Catholic,,6,6,5,6,6,2,attention,60,No,35
pid_26,60+,Female,,1948,White / Caucasian,,Doctorate degree / Ph.D.,No,Yes,Yes,"$30,000 to $55,999",1,Middle class,A small city or town,99999,Somewhat disagree,Democrat,,I am not religious,,7 Strongly agree,7 Strongly agree,3,7 Strongly agree,7 Strongly agree,1 Strongly disagree,attention,85,,
pid_27,60+,Female,,1966,White / Caucasian,,Some college or Associate's degree,Yes,Yes,Yes,"$100,000 to $167,999",6 or more,Middle class,A suburb near a large city,99999,Somewhat disagree,Independent,,Protestant,,6,6,4,6,6,2,attention,,No,35
pid_28,30-44,Female,,1985,White / Caucasian,,Doctorate degree / Ph.D.,No,Yes,Yes,"$56,000 to $99,999",2,Middle class,A suburb near a large city,99999,Somewhat disagree,Democrat,,I am not religious,,6,6,3,6,6,2,attention,70,,
pid_29,60+,Female,,1948,White / Caucasian,,High school diploma / GED,Yes,Yes,Not applicable,"Less than $30,000",1,Working class,A small city or town,99999,Somewhat disagree,Independent,,Protestant,,6,6,4,6,6,2,attention,,No,20
pid_30,60+,Male,,1965,White / Caucasian,,Bachelor's degree,No,Yes,Yes,"$30,000 to $55,999",2,Middle class,A small city or town,99999,Somewhat disagree,Independent,,Orthodox Christian,,6,6,3,6,6,2,attention,,No,35
pid_31,30-44,Female,,1985,White / Caucasian,,Bachelor's degree,No,Yes,Yes,"$56,000 to $99,999",2,Middle class,A suburb near a large city,99999,Somewhat disagree,Democrat,,I am not religious,,6,6,3,6,6,1 Strongly disagree,attention,70,,
pid_32,30-44,Male,,1985,Latino / Hispanic,,High school diploma / GED,No,Yes,No,"$30,000 to $55,999",2,Working class,A small city or town,99999,Somewhat disagree,Independent,,Other religion (please specify),,5,5,4,6,6,2,attention,,,10
pid_33,30-44,Female,,1985,White / Caucasian,,Bachelor's degree,No,Yes,Yes,"$30,000 to $55,999",1,Middle class,A small city or town,99999,Somewhat disagree,Democrat,,Protestant,,6,6,3,6,6,2,attention,70,No,40
pid_34,18-29,Female,,2002,Black / African-American,,High school diploma / GED,Yes,Yes,Not applicable,"$56,000 to $99,999",2,Working class,A small city or town,99999,Somewhat disagree,Independent,,Other religion (please specify),Spiritual but not religious,6,6,4,6,6,2,attention,,,10
pid_35,30-44,Female,,1985,White / Caucasian,,Doctorate degree / Ph.D.,No,Yes,Yes,"$56,000 to $99,999",4,Middle class,A suburb near a large city,99999,Somewhat disagree,Republican,,Catholic,,5,5,3,5,6,5,attention,90,No,90
pid_36,60+,Female,,1950,White / Caucasian,,Bachelor's degree,Yes,Yes,Yes,"$100,000 to $167,999",2,Middle class,A suburb near a large city,99999,Somewhat disagree,Democrat,,Jewish,,7 Strongly agree,7 Strongly agree,2,7 Strongly agree,7 Strongly agree,1 Strongly disagree,attention,85,,15
pid_37,45-59,Male,,1978,Other,,Some college or Associate's degree,Yes,Yes,No,"$30,000 to $55,999",1,Working class,A small city or town,99999,Somewhat disagree,Independent,,I am not religious,,6,6,4,6,6,1 Strongly disagree,attention,,,
pid_38,60+,Female,,1965,White / Caucasian,,High school diploma / GED,Yes,Yes,Not applicable,"$100,000 to $167,999",4,Middle class,A small city or town,99999,Somewhat disagree,Independent,,Catholic,,6,6,3,6,6,2,attention,,No,35
pid_39,60+,Female,,1965,White / Caucasian,,Some college or Associate's degree,Yes,Yes,Yes,"$56,000 to $99,999",2,Middle class,A small city or town,99999,Somewhat disagree,Republican,,Protestant,,6,6,3,6,6,2,attention,80,Yes,85
pid_40,30-44,Male,,1985,White / Caucasian,,Some college or Associate's degree,Yes,Yes,Yes,"$100,000 to $167,999",6 or more,Middle class,A suburb near a large city,99999,Somewhat disagree,Republican,,Other religion (please specify),Non-denominational Christian,7 Strongly agree,7 Strongly agree,4,6,7 Strongly agree,1 Strongly disagree,attention,75,,40
pid_41,18-29,Female,,1999,White / Caucasian,,Bachelor's degree,Yes,Yes,Yes,"$56,000 to $99,999",1,Middle class,A small city or town,99999,Somewhat disagree,Republican,,Protestant,,6,6,4,6,6,2,attention,70,Yes,65
pid_42,60+,Female,,1965,White / Caucasian,,Master's degree / Professional degree,Yes,Yes,Yes,"$56,000 to $99,999",1,Middle class,A small city or town,99999,Somewhat disagree,Independent,,Catholic,,6,6,4,6,6,1 Strongly disagree,attention,,No,20
pid_43,18-29,Male,,2000,Black / African-American,,Some college or Associate's degree,No,Yes,Yes,"$56,000 to $99,999",4,Middle class,A small city or town,99999,Somewhat disagree,Independent,,I am not religious,,6,6,4,6,6,2,attention,,,
pid_44,30-44,Male,,1985,Latino / Hispanic,,Some college or Associate's degree,No,Yes,Yes,"Less than $30,000",4,Working class,A small city or town,99999,Somewhat disagree,Independent,,I am not religious,,6,7 Strongly agree,3,6,7 Strongly agree,1 Strongly disagree,attention,,,
pid_45,60+,Male,,1965,White / Caucasian,,Some college or Associate's degree,No,Yes,Yes,"$100,000 to $167,999",2,Middle class,A suburb near a large city,99999,Somewhat disagree,Republican,,Catholic,,6,6,3,6,6,2,attention,85,No,75
pid_46,30-44,Male,,1985,Asian / Asian-American,,Bachelor's degree,No,Yes,Yes,"$30,000 to $55,999",2,Middle class,A suburb near a large city,99999,Somewhat disagree,Independent,,Protestant,,6,6,6,6,6,1 Strongly disagree,attention,,No,35
pid_47,45-59,Male,,1980,White / Caucasian,,Bachelor's degree,Yes,Yes,Yes,"$168,000 or more",6 or more,Upper class,A suburb near a large city,99999,Somewhat disagree,Republican,,Catholic,,7 Strongly agree,7 Strongly agree,3,6,7 Strongly agree,2,attention,90,No,55
pid_48,60+,Male,,1948,Black / African-American,,Bachelor's degree,Yes,Yes,Yes,"$100,000 to $167,999",2,Middle class,A suburb near a large city,99999,Somewhat disagree,Independent,,Protestant,,7 Strongly agree,7 Strongly agree,5,6,7 Strongly agree,2,attention,,No,35
pid_49,30-44,Female,,1985,White / Caucasian,,High school diploma / GED,No,Yes,Not applicable,"$30,000 to $55,999",3,Working class,A small city or town,99999,Somewhat disagree,Independent,,Catholic,,6,6,3,6,6,2,attention,,No,20
pid_50,60+,Female,,1948,White / Caucasian,,Some college or Associate's degree,No,Yes,No,"$56,000 to $99,999",2,Middle class,A rural area,99999,Somewhat disagree,Democrat,,Catholic,,6,6,4,6,6,1 Strongly disagree,attention,70,No,40
pid_51,60+,Male,,1965,White / Caucasian,,High school diploma / GED,No,Yes,No,"$56,000 to $99,999",2,Middle class,A small city or town,99999,Somewhat disagree,Independent,,I am not religious,,6,6,4,6,6,2,attention,,,
pid_52,30-44,Female,,1982,White / Caucasian,,Bachelor's degree,No,Yes,Yes,"$100,000 to $167,999",2,Middle class,A suburb near a large city,99999,Somewhat disagree,Democrat,,I am not religious,,6,6,3,6,6,1 Strongly disagree,attention,75,,
pid_53,60+,Male,,1965,White / Caucasian,,Bachelor's degree,Yes,Yes,Yes,"Less than $30,000",1,Working class,A small city or town,99999,Somewhat disagree,Democrat,,Protestant,,6,6,3,6,6,2,attention,55,No,30
pid_54,60+,Male,,1965,White / Caucasian,,Some college or Associate's degree,Yes,Yes,No,"$56,000 to $99,999",2,Middle class,A small city or town,99999,Somewhat disagree,Independent,,I am not religious,,6,6,3,6,6,1 Strongly disagree,attention,,,
pid_55,60+,Female,,1962,White / Caucasian,,Bachelor's degree,Yes,Yes,Yes,"$56,000 to $99,999",2,Middle class,A small city or town,99999,Somewhat disagree,Democrat,,Protestant,,6,6,3,6,6,2,attention,65,No,20
pid_56,60+,Female,,1945,White / Caucasian,,High school diploma / GED,No,Yes,Not applicable,"$30,000 to $55,999",2,Working class,A small city or town,99999,Somewhat disagree,Republican,,Other religion (please specify),Other,6,6,3,6,6,2,attention,75,,85
pid_57,45-59,Male,,1980,Black / African-American,,Doctorate degree / Ph.D.,Yes,Yes,Yes,"$100,000 to $167,999",4,Middle class,A suburb near a large city,99999,Somewhat disagree,Democrat,,Protestant,,7 Strongly agree,7 Strongly agree,3,6,7 Strongly agree,1 Strongly disagree,attention,75,No,55
pid_58,60+,Female,,1948,White / Caucasian,,Some college or Associate's degree,Yes,Yes,Yes,"Less than $30,000",1,Working class,A small city or town,99999,Somewhat disagree,Democrat,,I am not religious,,6,6,3,6,6,2,attention,70,,
pid_59,45-59,Male,,1980,White / Caucasian,,Bachelor's degree,Yes,Yes,Yes,"$100,000 to $167,999",2,Middle class,A suburb near a large city,99999,Somewhat disagree,Republican,,Catholic,,6,6,4,6,6,2,attention,70,No,35
pid_60,60+,Male,,1965,White / Caucasian,,High school diploma / GED,Yes,Yes,Not applicable,"$30,000 to $55,999",3,Working class,A small city or town,99999,Somewhat disagree,Republican,,Catholic,,5,5,4,5,5,2,attention,70,No,35
pid_61,60+,Male,,1965,White / Caucasian,,Bachelor's degree,No,Yes,Yes,"$30,000 to $55,999",2,Middle class,A small city or town,99999,Somewhat disagree,Republican,,Protestant,,6,6,2,6,6,2,attention,75,Yes,80
pid_62,45-59,Male,,1980,White / Caucasian,,Some college or Associate's degree,Yes,Yes,Yes,"$56,000 to $99,999",4,Middle class,A suburb near a large city,99999,Somewhat disagree,Independent,,Protestant,,6,6,2,6,6,1 Strongly disagree,attention,,No,55
pid_63,60+,Female,,1965,White / Caucasian,,Some college or Associate's degree,No,Yes,No,"$30,000 to $55,999",2,Working class,A small city or town,99999,Somewhat disagree,Republican,,Other religion (please specify),Other,5,5,2,5,6,5,attention,85,,25
pid_64,60+,Male,,1965,White / Caucasian,,High school diploma / GED,No,Yes,Not applicable,"$56,000 to $99,999",4,Working class,A small city or town,99999,Somewhat disagree,Democrat,,Protestant,,6,6,3,6,6,2,attention,45,No,45
pid_65,45-59,Female,,1980,Latino / Hispanic,,Some college or Associate's degree,Yes,Yes,Yes,"Less than $30,000",1,Working class,A small city or town,99999,Somewhat disagree,Democrat,,Catholic,,7 Strongly agree,7 Strongly agree,4,7 Strongly agree,7 Strongly agree,1 Strongly disagree,attention,85,No,15
pid_67,30-44,Male,,1985,White / Caucasian,,Some college or Associate's degree,No,Yes,Yes,"$30,000 to $55,999",1,Middle class,A small city or town,99999,Somewhat disagree,Independent,,I am not religious,,6,7 Strongly agree,3,6,7 Strongly agree,1 Strongly disagree,attention,,,
pid_68,30-44,Male,,1985,White / Caucasian,,Bachelor's degree,No,Yes,Yes,"$100,000 to $167,999",6 or more,Middle class,A suburb near a large city,99999,Somewhat disagree,Democrat,,Catholic,,6,6,3,6,6,2,attention,85,No,85
pid_69,30-44,Male,,1985,White / Caucasian,,Bachelor's degree,Yes,Yes,Yes,"$56,000 to $99,999",4,Middle class,A suburb near a large city,99999,Somewhat disagree,Republican,,Protestant,,6,6,4,6,6,2,attention,75,Yes,80
pid_70,60+,Male,,1965,White / Caucasian,,Some college or Associate's degree,Yes,Yes,Yes,"$56,000 to $99,999",2,Middle class,A small city or town,99999,Somewhat disagree,Democrat,,Catholic,,6,6,4,6,6,2,attention,70,No,20
pid_71,60+,Male,,1962,Latino / Hispanic,,Bachelor's degree,No,Yes,Yes,"$100,000 to $167,999",3,Middle class,A suburb near a large city,99999,Somewhat disagree,Democrat,,Protestant,,6,6,3,6,6,2,attention,65,Yes,65
pid_72,45-59,Male,,1980,White / Caucasian,,Some college or Associate's degree,No,Yes,Yes,"$100,000 to $167,999",2,Middle class,A suburb near a large city,99999,Somewhat disagree,Independent,,Jewish,,6,6,4,6,6,2,attention,,,15
pid_73,30-44,Male,,1985,White / Caucasian,,Some college or Associate's degree,Yes,Yes,Yes,"$56,000 to $99,999",2,Middle class,A suburb near a large city,99999,Somewhat disagree,Democrat,,I am not religious,,6,6,3,6,6,1 Strongly disagree,attention,65,,
pid_74,60+,Male,,1945,White / Caucasian,,Some college or Associate's degree,Yes,Yes,Yes,"$30,000 to $55,999",3,Middle class,A small city or town,99999,Somewhat disagree,Democrat,,Protestant,,6,6,3,6,6,2,attention,60,No,55
pid_75,45-59,Female,,1968,White / Caucasian,,High school diploma / GED,No,Yes,Not applicable,"$56,000 to $99,999",3,Middle class,A suburb near a large city,99999,Somewhat disagree,Democrat,,Catholic,,6,6,3,6,6,2,attention,65,No,55
pid_76,60+,Female,,1948,White / Caucasian,,Some college or Associate's degree,Yes,Yes,Yes,"$30,000 to $55,999",1,Working class,A small city or town,99999,Somewhat disagree,Republican,,Other religion (please specify),Other,6,6,4,6,6,2,attention,90,,90
pid_77,60+,Female,,1965,White / Caucasian,,High school diploma / GED,No,Yes,Not applicable,"Less than $30,000",4,Working class,A small city or town,99999,Somewhat disagree,Independent,,I am not religious,,6,6,4,6,6,2,attention,,,
pid_78,60+,Male,,1955,White / Caucasian,,Some college or Associate's degree,No,Yes,Yes,"$56,000 to $99,999",2,Middle class,A small city or town,99999,Somewhat disagree,Republican,,Catholic,,6,6,5,6,6,2,attention,85,No,55
pid_79,60+,Male,,1955,White / Caucasian,,Some college or Associate's degree,Yes,Yes,Yes,"$56,000 to $99,999",2,Middle class,A small city or town,99999,Somewhat disagree,Independent,,Protestant,,6,6,3,6,6,2,attention,,No,25
pid_80,60+,Male,,1955,White / Caucasian,,Bachelor's degree,No,Yes,Yes,"Less than $30,000",1,Middle class,A small city or town,99999,Somewhat disagree,Independent,,Protestant,,7 Strongly agree,7 Strongly agree,5,7 Strongly agree,7 Strongly agree,1 Strongly disagree,attention,,No,20
pid_81,60+,Male,,1965,White / Caucasian,,Bachelor's degree,No,Yes,Yes,"Less than $30,000",1,Working class,A small city or town,99999,Somewhat disagree,Democrat,,I am not religious,,6,6,3,6,6,2,attention,85,,
pid_82,18-29,Female,,1998,White / Caucasian,,Bachelor's degree,No,Yes,Yes,"$56,000 to $99,999",4,Middle class,A suburb near a large city,99999,Somewhat disagree,Democrat,,I am not religious,,5,5,2,5,5,2,attention,70,,
pid_83,60+,Female,,1962,White / Caucasian,,Some college or Associate's degree,No,Yes,Yes,"$100,000 to $167,999",3,Middle class,A small city or town,99999,Somewhat disagree,Republican,,Protestant,,6,6,3,6,6,2,attention,65,No,25
pid_84,60+,Female,,1965,White / Caucasian,,Some college or Associate's degree,Yes,Yes,No,"Less than $30,000",1,Working class,A small city or town,99999,Somewhat disagree,Democrat,,I am not religious,,7 Strongly agree,7 Strongly agree,4,7 Strongly agree,7 Strongly agree,1 Strongly disagree,attention,70,,
pid_85,60+,Male,,1965,White / Caucasian,,Bachelor's degree,Yes,Yes,Yes,"$100,000 to $167,999",2,Middle class,A small city or town,99999,Somewhat disagree,Independent,,Protestant,,6,6,4,6,6,2,attention,,Yes,70
pid_86,60+,Female,,1965,White / Caucasian,,High school diploma / GED,No,Yes,Not applicable,"Less than $30,000",4,Working class,A small city or town,99999,Somewhat disagree,Republican,,I am not religious,,6,6,3,6,7 Strongly agree,1 Strongly disagree,attention,75,,
pid_87,60+,Female,,1965,White / Caucasian,,Some college or Associate's degree,Yes,Yes,Yes,"$30,000 to $55,999",1,Middle class,A small city or town,99999,Somewhat disagree,Democrat,,Protestant,,6,6,2,6,6,1 Strongly disagree,attention,70,No,35
pid_88,18-29,Male,,1998,White / Caucasian,,Bachelor's degree,Yes,Yes,Yes,"$56,000 to $99,999",4,Middle class,A small city or town,99999,Somewhat disagree,Independent,,Protestant,,6,6,5,6,6,2,attention,,No,55
pid_89,60+,Female,,1945,White / Caucasian,,Some college or Associate's degree,Yes,Yes,Yes,"$30,000 to $55,999",1,Working class,A small city or town,99999,Somewhat disagree,Democrat,,Catholic,,6,6,3,6,6,2,attention,65,No,35
pid_90,30-44,Female,,1985,Asian / Asian-American,,Bachelor's degree,No,Yes,Yes,"$30,000 to $55,999",1,Middle class,A large city,99999,Somewhat disagree,Democrat,,I am not religious,,6,6,2,6,7 Strongly agree,1 Strongly disagree,attention,85,,
pid_91,60+,Female,,1965,White / Caucasian,,Bachelor's degree,Yes,Yes,Yes,"$56,000 to $99,999",2,Middle class,A small city or town,99999,Somewhat disagree,Democrat,,Other religion (please specify),Spiritual but not religious,6,6,4,6,6,2,attention,75,,10
pid_92,30-44,Female,,1985,White / Caucasian,,Some college or Associate's degree,Yes,Yes,No,"$56,000 to $99,999",4,Middle class,A small city or town,99999,Somewhat disagree,Republican,,I am not religious,,5,5,3,5,6,2,attention,60,,
pid_93,45-59,Male,,1968,Asian / Asian-American,,Some college or Associate's degree,No,Yes,Yes,"$100,000 to $167,999",3,Middle class,A suburb near a large city,99999,Somewhat disagree,Independent,,I am not religious,,6,6,3,6,6,1 Strongly disagree,attention,,,
pid_94,45-59,Male,,1980,Asian / Asian-American,,Bachelor's degree,No,Yes,Yes,"$100,000 to $167,999",3,Middle class,A suburb near a large city,99999,Somewhat disagree,Democrat,,I am not religious,,6,6,4,6,6,2,attention,65,,
pid_95,60+,Female,,1965,White / Caucasian,,Doctorate degree / Ph.D.,Yes,Yes,Yes,"$100,000 to $167,999",3,Upper class,A suburb near a large city,99999,Somewhat disagree,Republican,,Protestant,,6,6,3,6,6,2,attention,75,Yes,75
pid_96,18-29,Female,,2000,Other,Other,Some college or Associate's degree,Yes,Yes,Yes,"Less than $30,000",3,Working class,A small city or town,99999,Somewhat disagree,Independent,,Protestant,,6,6,3,6,6,2,attention,,Yes,85
pid_97,60+,Male,,1965,White / Caucasian,,Doctorate degree / Ph.D.,No,Yes,Yes,"$100,000 to $167,999",3,Middle class,A suburb near a large city,99999,Somewhat disagree,Independent,,I am not religious,,6,6,4,6,6,6,attention,,,
pid_98,30-44,Female,,1982,White / Caucasian,,Bachelor's degree,Yes,Yes,Yes,"$56,000 to $99,999",1,Middle class,A large city,99999,Somewhat disagree,Other (please specify),Progressive,I am not religious,,6,6,3,6,6,2,attention,,,
pid_99,30-44,Male,,1985,Other,Other,Some college or Associate's degree,Yes,Yes,Yes,"Less than $30,000",1,Working class,A small city or town,99999,Somewhat disagree,Independent,,I am not religious,,6,6,4,6,6,2,attention,,,
pid_100,45-59,Male,,1980,White / Caucasian,,Master's degree / Professional degree,Yes,Yes,Yes,"$30,000 to $55,999",1,Middle class,A small city or town,99999,Somewhat disagree,Democrat,,I am not religious,,7 Strongly agree,7 Strongly agree,3,7 Strongly agree,7 Strongly agree,1 Strongly disagree,attention,80,,
pid_101,60+,Male,,1965,White / Caucasian,,High school diploma / GED,No,Yes,Not applicable,"$56,000 to $99,999",2,Working class,A small city or town,99999,Somewhat disagree,Democrat,,I am not religious,,6,6,4,6,6,2,attention,65,,
pid_102,45-59,Male,,1979,Black / African-American,,Bachelor's degree,No,Yes,Yes,"$100,000 to $167,999",6 or more,Middle class,A suburb near a large city,99999,Somewhat disagree,Republican,,Protestant,,6,6,3,6,6,2,attention,90,Yes,90
pid_103,18-29,Female,,1998,White / Caucasian,,Bachelor's degree,Yes,Yes,Yes,"$100,000 to $167,999",3,Middle class,A suburb near a large city,99999,Somewhat disagree,Republican,,Catholic,,6,6,5,6,6,2,attention,85,No,75
pid_104,30-44,Male,,1985,White / Caucasian,,Some college or Associate's degree,No,Yes,Yes,"$30,000 to $55,999",3,Working class,A small city or town,99999,Somewhat disagree,Republican,,Protestant,,6,6,5,6,6,2,attention,70,No,30
pid_105,60+,Male,,1965,White / Caucasian,,High school diploma / GED,Yes,Yes,Not applicable,"Less than $30,000",3,Working class,A small city or town,99999,Somewhat disagree,Independent,,I am not religious,,7 Strongly agree,7 Strongly agree,4,7 Strongly agree,7 Strongly agree,1 Strongly disagree,attention,,,
pid_106,60+,Female,,1962,White / Caucasian,,Bachelor's degree,Yes,Yes,Yes,"$56,000 to $99,999",1,Middle class,A small city or town,99999,Somewhat disagree,Democrat,,I am not religious,,6,6,3,6,6,1 Strongly disagree,attention,75,,
pid_107,45-59,Male,,1980,White / Caucasian,,Bachelor's degree,No,Yes,Yes,"Less than $30,000",1,Working class,A small city or town,99999,Somewhat disagree,Republican,,Protestant,,6,6,4,6,6,1 Strongly disagree,attention,85,Yes,55
pid_108,60+,Female,,1965,White / Caucasian,,Bachelor's degree,Yes,Yes,Yes,"$56,000 to $99,999",2,Middle class,A suburb near a large city,99999,Somewhat disagree,Independent,,Other religion (please specify),Spiritual but not religious,7 Strongly agree,7 Strongly agree,4,6,7 Strongly agree,2,attention,,,20
pid_109,60+,Male,,1965,White / Caucasian,,Bachelor's degree,No,Yes,Yes,"$100,000 to $167,999",4,Middle class,A small city or town,99999,Somewhat disagree,Independent,,Protestant,,6,6,3,6,6,2,attention,,Yes,75
pid_110,45-59,Female,,1978,White / Caucasian,,Bachelor's degree,No,Yes,Yes,"$168,000 or more",3,Middle class,A suburb near a large city,99999,Somewhat disagree,Republican,,Orthodox Christian,,6,6,3,6,6,2,attention,85,No,80
pid_111,18-29,Male,,2000,Black / African-American,,High school diploma / GED,Yes,Yes,Not applicable,"$56,000 to $99,999",3,Working class,A small city or town,99999,Somewhat disagree,Republican,,Catholic,,6,6,2,6,6,2,attention,70,No,70
pid_112,60+,Female,,1965,Asian / Asian-American,,Bachelor's degree,Yes,Yes,Yes,"$56,000 to $99,999",2,Middle class,A suburb near a large city,99999,Somewhat disagree,Democrat,,Hindu,,6,6,3,6,6,2,attention,70,,60
pid_113,60+,Female,,1948,White / Caucasian,,Doctorate degree / Ph.D.,Yes,Yes,Yes,"$56,000 to $99,999",1,Middle class,A small city or town,99999,Somewhat disagree,Democrat,,Protestant,,7 Strongly agree,7 Strongly agree,2,7 Strongly agree,7 Strongly agree,1 Strongly disagree,attention,75,Yes,75
